City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Manado,ID,1.487,124.8455,90.37,62,40,8.05,scattered clouds
151,Port Elizabeth,ZA,-33.918,25.5701,47.1,81,20,6.91,few clouds
152,Tumpat,MY,6.1978,102.171,87.78,70,20,6.91,few clouds
153,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.7,72,0,5.26,clear sky
154,Coolum Beach,AU,-26.5333,153.1,75.11,58,1,4.25,clear sky
155,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
156,Mapiripan,CO,2.8892,-72.1256,72.37,89,100,2.08,overcast clouds
157,Rio Grande,BR,-32.035,-52.0986,53.87,85,71,4.61,light rain
158,Noumea,NC,-22.2763,166.4572,80.58,99,95,10.18,overcast clouds
159,Forestville,US,38.8451,-76.875,78.33,74,100,13.8,overcast clouds
160,Touros,BR,-5.1989,-35.4608,74.07,83,16,9.13,few clouds
161,Duluth,US,46.7833,-92.1066,64.08,92,40,8.05,scattered clouds
162,Nizhnyaya Tura,RU,58.6293,59.8118,63.79,72,85,1.21,overcast clouds
163,Alice Town,BS,25.7167,-79.3,82.83,71,100,13.33,overcast clouds
164,Mount Isa,AU,-20.7333,139.5,76.77,25,47,13.8,scattered clouds
165,Hervey Bay,AU,-25.2986,152.8535,75.02,58,7,5.99,clear sky
166,Suhbaatar,MN,50.2314,106.2078,72.57,58,100,5.37,overcast clouds
167,Fortuna,US,40.5982,-124.1573,57.65,80,80,2.62,broken clouds
168,Kamenka,RU,51.3223,42.7678,57.45,96,100,8.1,light rain
169,Kuito,AO,-12.3833,16.9333,48.72,43,87,2.53,overcast clouds
170,Lucapa,AO,-8.4192,20.7447,60.15,40,39,3.78,scattered clouds
171,Vilyuysk,RU,63.7553,121.6247,69.66,47,62,7.67,broken clouds
172,Kisangani,CD,0.5167,25.2,70.25,97,91,1.72,overcast clouds
173,Creemore,CA,44.327,-80.1075,70.05,90,15,8.25,few clouds
174,Port Hedland,AU,-20.3167,118.5667,86.05,21,22,13.8,few clouds
175,Shimoda,JP,34.6667,138.95,77.36,89,100,16.71,moderate rain
176,Susanville,US,40.4163,-120.653,71.44,30,0,4.61,clear sky
177,Klyuchi,RU,52.2667,79.1667,72.73,42,78,14.09,broken clouds
178,Rongcheng,CN,30.634,117.8517,92.88,43,56,4.23,broken clouds
179,Thompson,CA,55.7435,-97.8558,57.36,88,75,4.61,broken clouds
180,Tete,MZ,-16.1564,33.5867,57.29,100,20,4.61,few clouds
181,Vychegodskiy,RU,61.247,46.8984,62.2,66,99,8.75,overcast clouds
182,Chokurdakh,RU,70.6333,147.9167,69.08,23,91,7.25,overcast clouds
183,Tasiilaq,GL,65.6145,-37.6368,41.16,97,100,7.87,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,29.66,70,100,5.84,overcast clouds
185,Tessalit,ML,20.1986,1.0114,85.23,36,90,14.36,overcast clouds
186,San Vicente,AR,-26.6167,-54.1333,51.78,97,1,3.09,clear sky
187,Saskylakh,RU,71.9167,114.0833,55.71,32,11,6.02,few clouds
188,Leningradskiy,RU,69.3833,178.4167,40.46,71,90,5.97,overcast clouds
189,Morant Bay,JM,17.8815,-76.4093,80.22,85,100,9.26,overcast clouds
190,Salalah,OM,17.0151,54.0924,86.09,74,75,5.75,broken clouds
191,Ponta Do Sol,PT,32.6667,-17.1,67.01,73,38,6.51,scattered clouds
192,Zonguldak,TR,41.25,31.8333,61.47,82,18,2.77,few clouds
193,Guerrero Negro,MX,27.9769,-114.0611,63.0,84,0,14.85,clear sky
194,Yellowknife,CA,62.456,-114.3525,59.56,82,100,10.36,overcast clouds
195,Vardo,NO,70.3705,31.1107,40.98,93,100,18.41,light rain
196,Challapata,BO,-18.9,-66.7667,36.19,26,0,3.09,clear sky
197,Tecoanapa,MX,16.5167,-98.75,76.77,90,100,7.25,overcast clouds
198,Portland,US,45.5234,-122.6762,65.08,72,100,6.91,overcast clouds
199,Constitucion,CL,-35.3333,-72.4167,49.59,88,12,6.42,few clouds
200,Manyana,BW,-23.4,21.7167,36.99,62,0,5.88,clear sky
201,Hualmay,PE,-11.0964,-77.6139,60.6,82,13,13.51,few clouds
202,Airai,TL,-8.9266,125.4092,72.63,52,58,5.3,broken clouds
203,Okahandja,NA,-21.9833,16.9167,42.87,44,0,9.71,clear sky
204,Kalmunai,LK,7.4167,81.8167,80.83,75,100,6.13,heavy intensity rain
205,Ouallam,NE,14.3188,2.0866,85.28,54,81,5.57,light rain
206,Faya,SA,18.3851,42.4509,72.12,18,62,2.98,broken clouds
207,Alacranes,CU,22.7675,-81.5675,75.69,89,6,8.19,clear sky
208,Kismayo,SO,-0.3582,42.5454,79.68,79,69,15.05,light rain
209,Vila Velha,BR,-20.3297,-40.2925,64.94,90,40,2.3,scattered clouds
210,Turayf,SA,31.6725,38.6637,75.45,43,0,13.8,clear sky
211,Heswall,GB,53.3273,-3.0965,53.44,86,59,3.44,broken clouds
212,Suntar,RU,62.1444,117.6319,76.78,38,64,4.76,broken clouds
213,Dhidhdhoo,MV,6.8833,73.1,82.98,75,99,11.68,overcast clouds
214,Harper,LR,4.375,-7.7169,74.79,94,100,13.2,heavy intensity rain
215,Juegang,CN,32.3174,121.1855,95.95,43,40,4.81,scattered clouds
216,Altay,CN,47.8667,88.1167,72.54,38,100,8.88,moderate rain
217,Barcelos,PT,41.5388,-8.6151,66.34,96,64,4.12,broken clouds
218,Acheng,CN,45.5454,126.977,75.78,61,74,14.03,broken clouds
219,Babu,CN,24.4167,111.5167,78.51,93,99,3.44,overcast clouds
220,Dwarka,IN,22.2394,68.9678,86.92,70,51,15.86,broken clouds
221,Barrow,US,71.2906,-156.7887,37.42,87,0,10.36,clear sky
222,Talnakh,RU,69.4865,88.3972,72.21,42,100,6.69,overcast clouds
223,Lata,PT,40.1629,-8.3327,60.01,98,68,1.41,broken clouds
224,Kodinsk,RU,58.6881,99.1844,64.06,94,100,1.68,light rain
225,Muros,ES,42.7762,-9.0603,67.84,83,38,7.78,scattered clouds
226,Cidreira,BR,-30.1811,-50.2056,57.42,86,3,4.79,clear sky
227,Los Alamos,US,35.8881,-106.307,71.13,14,0,1.01,clear sky
228,San Quintin,MX,30.4833,-115.95,62.46,83,0,3.96,clear sky
229,Along,IN,28.1667,94.7667,72.82,100,100,1.48,moderate rain
230,Nobeoka,JP,32.5833,131.6667,77.25,67,100,2.06,overcast clouds
231,Nara,JP,34.6851,135.8049,80.49,49,100,7.25,overcast clouds
232,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.68,89,53,10.02,light rain
233,Watsa,CD,3.0372,29.5355,64.96,86,87,2.44,overcast clouds
234,New Norfolk,AU,-42.7826,147.0587,53.1,68,48,1.25,scattered clouds
235,Ribeira Grande,PT,38.5167,-28.7,64.99,91,23,3.24,few clouds
236,Sorong,ID,-0.8833,131.25,83.16,72,15,6.69,few clouds
237,Chuy,UY,-33.6971,-53.4616,51.76,84,88,5.77,light rain
238,Mosquera,CO,4.7059,-74.2302,53.69,87,75,4.61,broken clouds
239,Parana,AR,-31.732,-60.5238,59.56,76,100,5.12,light rain
240,Burns Lake,CA,54.2331,-125.7533,60.22,58,100,10.0,overcast clouds
241,Nome,US,64.5011,-165.4064,44.67,81,100,9.22,overcast clouds
242,Thoen,TH,17.6129,99.2161,91.98,52,96,3.2,overcast clouds
243,Lozuvatka,UA,48.0571,33.2858,65.03,57,50,6.89,scattered clouds
244,Rafsanjan,IR,30.4067,55.9939,88.77,9,0,3.96,clear sky
245,Talara,PE,-4.5772,-81.2719,64.8,77,2,18.86,clear sky
246,Akdepe,TM,42.0551,59.3788,82.49,14,11,11.05,few clouds
247,Tsaratanana,MG,-16.7833,47.65,71.28,71,2,5.79,clear sky
248,Ilulissat,GL,69.2167,-51.1,37.42,60,0,3.44,clear sky
249,Tiksi,RU,71.6872,128.8694,36.88,73,10,10.38,clear sky
250,Port Blair,IN,11.6667,92.75,86.04,70,75,9.22,broken clouds
251,Rezh,RU,57.37,61.4043,66.04,71,97,2.98,overcast clouds
252,Luganville,VU,-15.5333,167.1667,80.24,82,100,11.68,light rain
253,Chantada,ES,42.6088,-7.7712,63.7,85,34,2.04,scattered clouds
254,Olavarria,AR,-36.8927,-60.3225,43.02,88,99,5.06,overcast clouds
255,Pisco,PE,-13.7,-76.2167,58.01,88,100,5.75,smoke
256,Havre-Saint-Pierre,CA,50.2334,-63.5986,51.8,93,0,5.75,clear sky
257,Anadyr,RU,64.75,177.4833,57.7,62,40,15.66,scattered clouds
258,Matara,LK,5.9485,80.5353,82.6,75,100,11.74,overcast clouds
259,Yumen,CN,40.2833,97.2,92.93,5,98,12.75,overcast clouds
260,Torbay,CA,47.6666,-52.7314,40.39,81,20,5.75,few clouds
261,Zherdevka,RU,51.8486,41.4606,60.28,85,99,3.24,light rain
262,Cabedelo,BR,-6.9811,-34.8339,72.27,81,40,6.35,scattered clouds
263,Lewistown,US,40.5992,-77.5714,81.81,89,100,0.0,overcast clouds
264,Mandan,US,46.8267,-100.8896,61.95,74,100,34.52,overcast clouds
265,Sur,OM,22.5667,59.5289,91.92,53,8,4.79,clear sky
266,Sembabule,UG,-0.0772,31.4567,66.72,73,80,4.34,broken clouds
267,Kushiro,JP,42.975,144.3747,58.15,100,100,8.05,fog
268,Jumla,NP,29.2747,82.1838,73.24,36,0,7.18,clear sky
269,Richards Bay,ZA,-28.783,32.0377,54.41,62,3,11.48,clear sky
270,Arman,RU,59.7,150.1667,53.02,97,100,5.61,overcast clouds
271,Lianran,CN,24.9227,102.485,66.74,87,100,4.07,overcast clouds
272,Nanortalik,GL,60.1432,-45.2371,36.84,88,3,7.58,clear sky
273,Lumut,MY,4.2323,100.6298,87.82,70,20,2.3,few clouds
274,Haines Junction,CA,60.7522,-137.5108,58.39,62,68,0.85,light rain
275,Fontaine,FR,45.1984,5.6827,71.89,72,42,4.0,scattered clouds
276,Isetskoye,RU,56.4858,65.3226,69.89,65,20,6.64,few clouds
277,Gergebil,RU,42.5047,47.0661,69.44,69,72,1.25,light rain
278,Mirebalais,HT,18.8333,-72.1053,81.32,82,100,4.21,overcast clouds
279,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,82,40,9.46,scattered clouds
280,Bakchar,RU,57.0186,82.0711,61.36,74,90,8.55,light rain
281,Derzhavinsk,KZ,51.1,66.3167,76.1,35,10,7.94,clear sky
282,Awbari,LY,26.5921,12.7805,74.25,25,0,8.41,clear sky
283,Manacor,ES,39.5696,3.2096,74.52,52,26,0.74,scattered clouds
284,Junin,AR,-34.5838,-60.9433,50.27,71,9,5.32,clear sky
285,Alice Springs,AU,-23.7,133.8833,72.95,32,1,10.36,clear sky
286,Komsomolskiy,UZ,40.4272,71.7189,79.52,36,54,4.61,broken clouds
287,Iralaya,HN,15.0,-83.2333,75.33,88,96,2.75,overcast clouds
288,Kamaishi,JP,39.2667,141.8833,71.04,71,100,9.82,overcast clouds
289,Strezhevoy,RU,60.7333,77.5889,62.51,82,100,5.08,light rain
290,Gilgit,PK,35.9221,74.3087,81.66,35,47,2.46,scattered clouds
291,Coihaique,CL,-45.5752,-72.0662,42.75,61,40,9.22,scattered clouds
292,Teeli,RU,51.0333,90.2333,74.93,39,33,6.53,scattered clouds
293,Laguna,US,38.421,-121.4238,78.4,38,0,11.5,clear sky
294,Yenangyaung,MM,20.4667,94.8833,96.55,40,100,11.61,overcast clouds
295,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,11.5,broken clouds
296,Lebu,CL,-37.6167,-73.65,48.67,89,63,7.81,broken clouds
297,Sisimiut,GL,66.9395,-53.6735,35.17,75,64,1.63,broken clouds
298,Payo,ID,-3.7508,103.6372,88.72,55,98,3.6,overcast clouds
299,Balabac,PH,7.9868,117.0645,86.07,68,96,10.02,overcast clouds
300,Namwala,ZM,-15.7504,26.4384,54.36,62,1,3.49,clear sky
301,Longkou,CN,37.6508,120.3286,76.57,64,73,2.75,broken clouds
302,Houlton,US,46.1262,-67.8403,59.72,77,0,3.44,clear sky
303,Ciechocinek,PL,52.8791,18.7951,56.66,98,95,5.77,overcast clouds
304,Tura,IN,25.5198,90.2201,79.12,89,100,8.21,heavy intensity rain
305,Aswan,EG,24.0934,32.907,81.7,29,0,4.61,clear sky
306,Lagoa,PT,39.05,-27.9833,63.3,92,15,8.84,few clouds
307,Esil,KZ,51.9556,66.4042,72.99,45,20,6.53,few clouds
308,Faanui,PF,-16.4833,-151.75,80.76,71,9,17.02,clear sky
309,Samarai,PG,-10.6167,150.6667,80.08,85,70,8.52,heavy intensity rain
310,At-Bashi,KG,41.1702,75.8106,60.71,61,73,3.13,moderate rain
311,Port Keats,AU,-14.25,129.55,91.22,20,68,8.01,broken clouds
312,San Ignacio,BZ,17.1561,-89.0714,73.54,94,0,0.0,clear sky
313,Caceres,ES,39.522,-6.3748,68.41,70,97,6.93,overcast clouds
314,Caravelas,BR,-17.7125,-39.2481,67.37,78,35,4.65,scattered clouds
315,Zheleznodorozhnyy,RU,55.7503,38.0042,61.56,59,40,7.45,scattered clouds
316,Ndende,GA,-2.4008,11.3581,70.88,88,77,1.45,broken clouds
317,Lompoc,US,34.6391,-120.4579,60.94,83,0,8.05,clear sky
318,Cururupu,BR,-1.8283,-44.8683,71.38,90,89,2.44,overcast clouds
319,Gat,IL,31.61,34.7642,75.81,100,0,8.12,clear sky
320,Krasnoborsk,RU,61.5598,45.934,61.83,67,42,9.22,scattered clouds
321,Nembro,IT,45.7463,9.7629,70.52,77,3,2.3,clear sky
322,Tilichiki,RU,60.4667,166.1,49.95,71,92,10.83,overcast clouds
323,Manzhouli,CN,49.6,117.4333,73.49,43,35,7.81,scattered clouds
324,Daru,PG,-9.0763,143.2092,80.85,87,49,13.53,scattered clouds
325,Sorland,NO,67.667,12.6934,46.26,83,9,3.78,clear sky
326,Synya,RU,65.3718,58.0387,63.7,49,61,5.23,broken clouds
327,Fairbanks,US,64.8378,-147.7164,70.14,52,20,13.8,few clouds
328,Corrales,US,35.2378,-106.6067,81.95,14,0,4.0,clear sky
329,Cotonou,BJ,6.3654,2.4183,75.18,94,20,4.61,few clouds
330,Half Moon Bay,US,37.4636,-122.4286,64.45,75,75,26.46,mist
331,Ardabil,IR,38.2498,48.2933,62.15,67,40,4.61,scattered clouds
332,Byron Bay,AU,-28.65,153.6167,72.95,48,0,4.72,clear sky
333,Namatanai,PG,-3.6667,152.4333,83.23,73,53,10.49,light rain
334,Taksimo,RU,56.3444,114.8794,75.85,38,34,1.92,scattered clouds
335,Kalianget,ID,-7.05,113.9333,84.24,75,90,14.34,overcast clouds
336,Seoul,KR,37.5683,126.9778,74.77,62,75,10.36,broken clouds
337,Erenhot,CN,43.6475,111.9767,84.51,20,66,2.53,broken clouds
338,Oildale,US,35.4197,-119.0195,86.02,21,0,4.61,clear sky
339,Thaton,MM,16.9206,97.3714,87.58,63,95,5.28,overcast clouds
340,Eyl,SO,7.9803,49.8164,80.76,65,93,20.38,overcast clouds
341,Kidal,ML,18.4411,1.4078,81.97,48,99,19.33,overcast clouds
342,Tanout,NE,14.9709,8.8879,80.6,45,96,7.61,overcast clouds
343,Biak,ID,-0.9131,122.8766,82.56,69,79,2.84,broken clouds
344,Esso,RU,55.9333,158.7,52.7,82,100,5.37,light rain
345,Lima,PE,-12.0432,-77.0282,59.25,72,0,11.5,clear sky
346,Gouyave,GD,12.1646,-61.7296,78.51,85,100,20.27,overcast clouds
347,Fort-Shevchenko,KZ,44.5086,50.263,80.02,50,62,8.12,broken clouds
348,Peterhead,GB,57.5058,-1.7981,55.8,87,88,0.83,overcast clouds
