City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Nueva Loja,EC,68.43,few clouds,0.0847,-76.8828,Limoncocha Great Hotel
417,Kunming,CN,66.13,broken clouds,25.0389,102.7183,昆明佳华广场酒店
418,Saurimo,AO,55.4,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
424,Dondo,MZ,69.31,clear sky,-19.6094,34.7431,Arco Iris
427,Sao Joao Da Barra,BR,63.59,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
428,Mpongwe,ZM,54.14,clear sky,-13.5091,28.155,Casablanca guest house and bar
430,Salto Del Guaira,PY,58.08,clear sky,-24.0625,-54.3069,7 Saltos Resort
432,Kemijarvi,FI,43.45,light rain,66.7131,27.4306,Hotelli Kemijärvi
435,Rawson,AR,45.99,few clouds,-43.3002,-65.1023,Hosteria Sampedro
438,Lively,CA,68.92,overcast clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
441,Makungu,TZ,59.95,scattered clouds,-8.7333,35.2833,Complex
443,Ancud,CL,46.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
445,Poronaysk,RU,62.67,scattered clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
449,Saint Anthony,US,69.58,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
450,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
452,Vila,PT,59.88,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
453,Flinders,AU,69.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
456,Turukhansk,RU,70.0,light rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
461,Santa Vitoria,BR,67.51,clear sky,-18.8386,-50.1214,Center Hotel
463,Kyshtovka,RU,58.84,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
468,Namibe,AO,63.81,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
470,Tromso,NO,51.39,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
471,Phalaborwa,ZA,47.48,broken clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
472,Sydney,AU,69.62,clear sky,-33.8679,151.2073,The Grace Sydney
473,Nemuro,JP,53.51,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
474,Trindade,BR,69.55,few clouds,-16.6494,-49.4889,Pousada Central
478,Pinhao,BR,48.51,clear sky,-25.6956,-51.6597,Pinhão Park Hotel
479,Broumov,CZ,64.42,broken clouds,50.5857,16.3318,Ubytovani na hradbach
483,Ulladulla,AU,59.77,broken clouds,-35.35,150.4667,Sandpiper Motel
487,Tacoronte,ES,62.15,overcast clouds,28.4769,-16.4102,Casa Laurel
493,Lake Oswego,US,63.86,overcast clouds,45.4207,-122.6706,Lakeshore Inn
497,Dali,CN,66.49,moderate rain,25.7,100.1833,Dali Travelling With Hostel
500,Lakes Entrance,AU,56.84,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
504,Oberndorf,DE,67.64,few clouds,48.2905,8.5722,Gasthof Hotel Traube
505,Muzhi,RU,65.05,clear sky,65.3667,64.6667,Gostinitsa
509,Kiama,AU,67.24,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
510,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
511,Te Anau,NZ,46.11,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
514,Brasileia,BR,68.07,clear sky,-11.0161,-68.7481,Pousada Tobias
518,Ludvika,SE,55.33,overcast clouds,60.1496,15.1878,Ludvika Stadshotell
519,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
523,Epinal,FR,61.56,broken clouds,48.1833,6.45,Hôtel Première Classe Epinal
525,Bayir,TR,64.92,few clouds,37.2687,28.2167,Hotel Babadag
527,Kraskino,RU,63.41,overcast clouds,42.7114,130.7794,"Gostinichnyy Kompleks ""Orion"""
529,Sorochinsk,RU,67.6,overcast clouds,52.4338,53.1583,Hotel Skazka
531,Requena,ES,65.79,overcast clouds,39.4883,-1.1004,Hotel Avenida
535,Trogir,HR,68.05,clear sky,43.5125,16.2517,Hotel Medena
536,Kolvereid,NO,49.23,overcast clouds,64.8655,11.6047,Kolvereid Familiecamping
538,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
541,Asau,RO,54.52,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
543,Eston,CA,55.92,overcast clouds,51.1501,-108.7514,Hearthside Place B&B
544,Campbell River,CA,53.98,mist,50.0163,-125.2446,Anchor Inn & Suites
549,Valparaiso,CL,53.47,broken clouds,-33.0393,-71.6273,Hotel Ultramar
551,Pyaozerskiy,RU,47.88,overcast clouds,65.8333,31.1667,Taratuga
552,Ahipara,NZ,60.1,clear sky,-35.1667,173.1667,Ahipara Holiday Park
557,Kokkola,FI,52.03,overcast clouds,63.8385,23.1307,Hotel Kokkola
558,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
560,Kargasok,RU,55.0,light rain,59.0556,80.8572,Hotel Kargasok
561,Chicama,PE,59.54,clear sky,-7.8447,-79.1469,Balihai Bungalows
565,Port Augusta,AU,64.76,clear sky,-32.5,137.7667,Majestic Oasis Apartments
569,Luau,AO,54.88,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
575,Shemgang,BT,61.47,overcast clouds,27.2169,90.6579,Dzongkhag Guest House
576,Pacific Grove,US,60.48,clear sky,36.6177,-121.9166,Lovers Point Inn
