City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Soe,ID,-9.8607,124.284,76.59,58,51,8.88,broken clouds
230,Muyezerskiy,RU,63.9333,31.65,45.21,97,100,8.52,overcast clouds
231,General Pico,AR,-35.6566,-63.7568,44.62,56,0,8.08,clear sky
232,Havoysund,NO,70.9963,24.6622,39.43,85,100,10.92,overcast clouds
233,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,11,12.66,fog
234,Matagami,CA,49.7502,-77.6328,66.31,59,100,5.75,overcast clouds
235,Lujiang,CN,31.2581,117.2817,86.7,60,0,13.82,clear sky
236,Severo-Kurilsk,RU,50.6789,156.125,51.44,75,90,4.45,overcast clouds
237,Valparaiso,CL,-33.0393,-71.6273,54.48,81,0,2.3,clear sky
238,Salalah,OM,17.0151,54.0924,82.29,88,67,6.69,broken clouds
239,Skibbereen,IE,51.55,-9.2667,61.11,97,73,8.63,broken clouds
240,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,20,5.75,few clouds
241,Porangatu,BR,-13.4408,-49.1486,73.29,42,36,2.66,scattered clouds
242,High Rock,BS,26.6208,-78.2833,82.09,76,2,9.46,clear sky
243,La Paz,BO,-16.5,-68.15,42.78,24,0,2.3,clear sky
244,Qasigiannguit,GL,68.8193,-51.1922,39.45,94,100,2.86,overcast clouds
245,Galle,LK,6.0367,80.217,80.24,80,100,9.06,light rain
246,Saskylakh,RU,71.9167,114.0833,60.57,38,57,12.62,broken clouds
247,Airai,TL,-8.9266,125.4092,69.57,64,30,4.5,scattered clouds
248,Carnarvon,AU,-24.8667,113.6333,73.87,77,97,13.38,light rain
249,Ziarat,PK,30.3823,67.7282,69.55,37,0,2.13,clear sky
250,Tiksi,RU,71.6872,128.8694,34.39,77,13,8.08,few clouds
251,Aykhal,RU,66.0,111.5,66.04,44,42,5.86,scattered clouds
252,Cabra,ES,37.4725,-4.4421,69.4,60,58,2.82,broken clouds
253,Collie,AU,-33.3667,116.15,65.28,72,16,14.76,light rain
254,Sibu,MY,2.3,111.8167,84.22,69,92,0.72,overcast clouds
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,63,0,11.18,clear sky
256,Lorengau,PG,-2.0226,147.2712,83.44,77,100,10.56,overcast clouds
257,Talcahuano,CL,-36.7167,-73.1167,47.88,93,20,1.14,few clouds
258,Troitskoye,RU,52.9821,84.6757,59.61,84,54,11.7,broken clouds
259,Westport,US,41.1415,-73.3579,69.62,87,100,11.5,overcast clouds
260,Great Falls,US,47.5002,-111.3008,83.59,26,0,13.8,clear sky
261,Zabaykalsk,RU,49.6333,117.3167,73.62,44,16,7.34,few clouds
262,Kolda,SN,12.8833,-14.95,78.62,68,35,5.7,scattered clouds
263,Alakurtti,RU,66.9672,30.3491,42.06,90,100,14.12,overcast clouds
264,Upington,ZA,-28.4478,21.2561,49.32,35,0,13.94,clear sky
265,Severodvinsk,RU,64.5635,39.8302,55.51,93,100,8.16,overcast clouds
266,Autazes,BR,-3.5797,-59.1306,72.99,85,13,2.3,few clouds
267,Grindavik,IS,63.8424,-22.4338,46.9,100,100,14.97,moderate rain
268,Egvekinot,RU,66.3167,-179.1667,37.24,97,100,2.89,overcast clouds
269,Evensk,RU,61.95,159.2333,54.97,58,100,5.23,overcast clouds
270,Ternate,ID,0.8,127.4,83.93,69,62,0.25,broken clouds
271,Viedma,AR,-40.8135,-62.9967,51.21,44,78,15.97,broken clouds
272,Hailar,CN,49.2,119.7,72.9,42,7,5.91,clear sky
273,Osakarovka,KZ,50.565,72.5692,60.42,61,93,6.87,overcast clouds
